TION - INFORMATION, EDUCATION, SECTION, LOCATION, DESCRIPTION, ACTION, APPLICATION, QUESTION, EDITION, ASSOCIATION
TIES - ACTIVITIES, FACILITIES, OPPORTUNITIES, PROPERTIES, CITIES, PARTIES, COMMUNITIES, UTILITIES, AUTHORITIES, SECURITIES
INGS - THINGS, LISTINGS, RATINGS, SETTINGS, MEETINGS, SAVINGS, SPRINGS, RINGS, BUILDINGS, PROCEEDINGS
NESS - BUSINESS, FITNESS, AWARENESS, EFFECTIVENESS, WITNESS, ILLNESS, WELLNESS, DARKNESS, HAPPINESS, CONSCIOUSNESS
ATES - STATES, RATES, ASSOCIATES, UPDATES, DATES, AFFILIATES, ESTIMATES, CERTIFICATES, INDICATES, CANDIDATES
LINE - ONLINE, OFFLINE, AIRLINE, MEDLINE, PIPELINE, DEADLINE, OUTLINE, DISCIPLINE, DECLINE, BASELINE
OUND - FOUND, AROUND, SOUND, ROUND, GROUND, BACKGROUND, BOUND, UNDERGROUND, POUND, COMPOUND
TORY - HISTORY, DIRECTORY, STORY, LABORATORY, FACTORY, INVENTORY, REGULATORY, TERRITORY, VICTORY, STATUTORY
RESS - ADDRESS, PRESS, EXPRESS, PROGRESS, CONGRESS, DRESS, STRESS, WORDPRESS, MISTRESS, ACTRESS
NTER - CENTER, ENTER, PRINTER, WINTER, COUNTER, HUNTER, MILFHUNTER, INTER, POINTER, PICHUNTER
PING - SHIPPING, SHOPPING, DEVELOPING, KEEPING, HELPING, MAPPING, CAMPING, SLEEPING, HOPING, WRAPPING
AGES - PAGES, IMAGES, MESSAGES, PACKAGES, LANGUAGES, MORTGAGES, DAMAGES, STAGES, ADVANTAGES, WAGES
URES - PICTURES, FEATURES, PROCEDURES, MEASURES, FIGURES, STRUCTURES, ADVENTURES, CULTURES, EXPENDITURES, LECTURES
TERS - COMPUTERS, LETTERS, CHARACTERS, CENTERS, POSTERS, NEWSLETTERS, PARAMETERS, MATTERS, PRINTERS, WRITERS
STED - POSTED, LISTED, INTERESTED, SUGGESTED, REQUESTED, HOSTED, TESTED, POSTPOSTED, TRUSTED, ADJUSTED
LING - MAILING, SELLING, HANDLING, CALLING, GAMBLING, FEELING, STERLING, WILLING, DEALING, FILING
STER - REGISTER, MASTER, MINISTER, POSTER, FASTER, WEBMASTER, SISTER, MANCHESTER, MONSTER, DISASTER
LAND - ISLAND, ENGLAND, IRELAND, ZEALAND, MARYLAND, SCOTLAND, THAILAND, PORTLAND, SWITZERLAND, CLEVELAND
VING - HAVING, LIVING, MOVING, GIVING, DRIVING, SERVING, RECEIVING, LEAVING, SAVING, IMPROVING
ITED - UNITED, LIMITED, UNLIMITED, EDITED, PROHIBITED, VISITED, INVITED, CITED, EXCITED, ACCREDITED
GHTS - RIGHTS, THOUGHTS, FLIGHTS, LIGHTS, NIGHTS, HIGHLIGHTS, HEIGHTS, COPYRIGHTS, INSIGHTS, WEIGHTS
ERED - POWERED, REGISTERED, CONSIDERED, OFFERED, COVERED, DELIVERED, ENTERED, ORDERED, DISCOVERED, ANSWERED
ORTS - SPORTS, REPORTS, EFFORTS, SUPPORTS, RESORTS, PORTS, SHORTS, IMPORTS, EXPORTS, AIRPORTS
NDER - UNDER, GENDER, WONDER, FINDER, ALEXANDER, FOUNDER, COMMANDER, SENDER, TENDER, REMINDER
RITY - SECURITY, AUTHORITY, PRIORITY, MAJORITY, CELEBRITY, POPULARITY, CHARITY, MINORITY, INTEGRITY, CLARITY
ARDS - CARDS, STANDARDS, BOARDS, AWARDS, TOWARDS, YARDS, REGARDS, EDWARDS, KEYBOARDS, REWARDS
WING - FOLLOWING, SHOWING, GROWING, VIEWING, DRAWING, ALLOWING, KNOWING, SWING, REVIEWING, SEWING
IOUS - PREVIOUS, VARIOUS, SERIOUS, RELIGIOUS, OBVIOUS, PRECIOUS, CURIOUS, DELICIOUS, INFECTIOUS, CONSCIOUS
DENT - STUDENT, PRESIDENT, INDEPENDENT, DEPENDENT, ACCIDENT, RESIDENT, INCIDENT, RESPONDENT, CONFIDENT, EVIDENT
IBLE - POSSIBLE, RESPONSIBLE, BIBLE, ELIGIBLE, COMPATIBLE, FLEXIBLE, ACCESSIBLE, VISIBLE, IMPOSSIBLE, INCREDIBLE
TORS - VISITORS, FACTORS, DIRECTORS, EDITORS, CONTRACTORS, OPERATORS, DOCTORS, MONITORS, INVESTORS, INDICATORS
CTED - SELECTED, EXPECTED, PROTECTED, CONNECTED, CONDUCTED, DIRECTED, AFFECTED, COLLECTED, ELECTED, RESTRICTED
LOGY - TECHNOLOGY, PSYCHOLOGY, BIOLOGY, METHODOLOGY, GENEALOGY, BIOTECHNOLOGY, ECOLOGY, PHYSIOLOGY, PATHOLOGY, SOCIOLOGY
YING - TRYING, BUYING, PLAYING, SAYING, PAYING, FLYING, CARRYING, APPLYING, DISPLAYING, IDENTIFYING
INES - LINES, MAGAZINES, GUIDELINES, MACHINES, HEADLINES, ENGINES, PHILIPPINES, AIRLINES, LIMOUSINES, WINES
CTOR - DIRECTOR, SECTOR, DOCTOR, FACTOR, CONTRACTOR, INSTRUCTOR, ACTOR, VECTOR, COLLECTOR, CONNECTOR
INED - JOINED, DEFINED, DETERMINED, OBTAINED, CONTAINED, COMBINED, MAINTAINED, EXPLAINED, TRAINED, REMAINED
IVES - ARCHIVES, GIVES, LIVES, DRIVES, OBJECTIVES, REPRESENTATIVES, INITIATIVES, ALTERNATIVES, RECEIVES, PERSPECTIVES
NCES - REFERENCES, SCIENCES, DIFFERENCES, EXPERIENCES, CIRCUMSTANCES, APPLIANCES, PREFERENCES, CONFERENCES, SUBSTANCES, CONSEQUENCES
RIAL - MATERIAL, INDUSTRIAL, TRIAL, EDITORIAL, SERIAL, MEMORIAL, TUTORIAL, IMPERIAL, AERIAL, BACTERIAL
ECTS - PROJECTS, EFFECTS, SUBJECTS, OBJECTS, ASPECTS, REFLECTS, AFFECTS, DEFECTS, PROSPECTS, ARCHITECTS
ANDS - ISLANDS, BRANDS, HANDS, THOUSANDS, NETHERLANDS, BANDS, STANDS, COMMANDS, LANDS, DEMANDS
MING - COMING, PROGRAMMING, GAMING, UPCOMING, BECOMING, PERFORMING, SWIMMING, WYOMING, TIMING, STREAMING
ULAR - POPULAR, PARTICULAR, REGULAR, CELLULAR, MOLECULAR, SPECTACULAR, CIRCULAR, MODULAR, CARDIOVASCULAR, CINGULAR
NTAL - ENVIRONMENTAL, RENTAL, MENTAL, DENTAL, EXPERIMENTAL, FUNDAMENTAL, CONTINENTAL, HORIZONTAL, GOVERNMENTAL, DEVELOPMENTAL
DERS - ORDERS, PROVIDERS, READERS, LEADERS, DISORDERS, HOLDERS, CAMCORDERS, BUILDERS, BORDERS, FOLDERS
NTLY - CURRENTLY, RECENTLY, FREQUENTLY, SIGNIFICANTLY, APPARENTLY, INSTANTLY, CONSTANTLY, INDEPENDENTLY, CONSISTENTLY, SUBSEQUENTLY
NTED - WANTED, PRESENTED, PRINTED, GRANTED, IMPLEMENTED, APPOINTED, ORIENTED, REPRESENTED, MOUNTED, POINTED
SHIP - MEMBERSHIP, RELATIONSHIP, LEADERSHIP, PARTNERSHIP, OWNERSHIP, CHAMPIONSHIP, SCHOLARSHIP, WORSHIP, TOWNSHIP, FRIENDSHIP
CHES - SEARCHES, WATCHES, INCHES, MATCHES, APPROACHES, CHURCHES, PATCHES, SWITCHES, BRANCHES, BEACHES
FIED - MODIFIED, SPECIFIED, CERTIFIED, IDENTIFIED, QUALIFIED, CLASSIFIED, SATISFIED, VERIFIED, NOTIFIED, UNIFIED
ANTS - RESTAURANTS, PLANTS, WANTS, PARTICIPANTS, GRANTS, CONSULTANTS, PANTS, MERCHANTS, APPLICANTS, GIANTS
NDED - RECOMMENDED, INTENDED, EXTENDED, ENDED, AMENDED, FUNDED, EXPANDED, FOUNDED, ATTENDED, HANDED
RATE - CORPORATE, SEPARATE, ACCURATE, OPERATE, GENERATE, DEMONSTRATE, MODERATE, DESPERATE, BIZRATE, CELEBRATE
SURE - ENSURE, PRESSURE, MEASURE, EXPOSURE, LEISURE, PLEASURE, DISCLOSURE, TREASURE, CLOSURE, ASSURE
IRED - REQUIRED, DESIRED, ACQUIRED, INSPIRED, TIRED, RETIRED, WIRED, FIRED, HIRED, EXPIRED
TIAL - POTENTIAL, INITIAL, ESSENTIAL, RESIDENTIAL, SUBSTANTIAL, PARTIAL, CONFIDENTIAL, PRESIDENTIAL, SPATIAL, MARTIAL
LLED - CALLED, INSTALLED, FILLED, CONTROLLED, KILLED, PULLED, ENROLLED, SKILLED, ROLLED, CANCELLED
TICS - STATISTICS, POLITICS, MATHEMATICS, CHARACTERISTICS, ATHLETICS, GENETICS, CRITICS, LOGISTICS, COSMETICS, OPTICS
LLER - SELLER, MILLER, SMALLER, CONTROLLER, KILLER, RESELLER, ROLLER, TRAVELLER, POWERSELLER, THRILLER
GING - CHANGING, MANAGING, PACKAGING, IMAGING, BRINGING, LODGING, EMERGING, AGING, BLOGGING, MESSAGING
SSES - CLASSES, BUSINESSES, PROCESSES, ADDRESSES, LOSSES, GLASSES, PASSES, SUNGLASSES, DRESSES, WITNESSES
NERS - OWNERS, PARTNERS, DESIGNERS, WINNERS, SCANNERS, PRACTITIONERS, CONTAINERS, CLEANERS, PRISONERS, BANNERS
ISTS - LISTS, ARTISTS, EXISTS, SCIENTISTS, CONSISTS, SPECIALISTS, FLORISTS, COLUMNISTS, JOURNALISTS, TERRORISTS
TARY - MILITARY, SECRETARY, ELEMENTARY, COMMENTARY, VOLUNTARY, DOCUMENTARY, MONETARY, PROPRIETARY, DIETARY, PARLIAMENTARY
CING - PRICING, RACING, FINANCING, REDUCING, DANCING, PRODUCING, FACING, OUTSOURCING, PLACING, INTRODUCING
LESS - WIRELESS, UNLESS, STAINLESS, REGARDLESS, NEVERTHELESS, TOPLESS, CORDLESS, HOMELESS, BLESS, ENDLESS
SIVE - COMPREHENSIVE, EXCLUSIVE, EXTENSIVE, MASSIVE, EXPENSIVE, PROGRESSIVE, INCLUSIVE, INTENSIVE, OFFENSIVE, IMPRESSIVE
SHED - PUBLISHED, ESTABLISHED, FINISHED, ACCOMPLISHED, DISTINGUISHED, FURNISHED, REFURBISHED, PUSHED, WATERSHED, POLISHED
ATOR - ADMINISTRATOR, OPERATOR, CALCULATOR, MODERATOR, COORDINATOR, SENATOR, GENERATOR, CREATOR, INDICATOR, LOCATOR
TELY - IMMEDIATELY, APPROXIMATELY, COMPLETELY, ABSOLUTELY, UNFORTUNATELY, DEFINITELY, ULTIMATELY, SEPARATELY, ACCURATELY, LATELY
SSED - PASSED, DISCUSSED, EXPRESSED, MISSED, ADDRESSED, PROCESSED, ASSESSED, COMPRESSED, ACCESSED, IMPRESSED
AINS - CONTAINS, REMAINS, DOMAINS, MOUNTAINS, EXPLAINS, BARGAINS, GAINS, CHAINS, TRAINS, PLAINS
NGER - LONGER, MESSENGER, FINGER, DANGER, PASSENGER, SINGER, YOUNGER, STRONGER, ANGER, STRANGER
URED - FEATURED, MEASURED, SECURED, MANUFACTURED, STRUCTURED, INJURED, CONFIGURED, CAPTURED, INSURED, ASSURED
IZED - AUTHORIZED, RECOGNIZED, ORGANIZED, SIZED, PERSONALIZED, CUSTOMIZED, REALIZED, SPECIALIZED, CHARACTERIZED, UNAUTHORIZED
CHED - ATTACHED, REACHED, LAUNCHED, CACHED, DISPATCHED, WATCHED, SEARCHED, MATCHED, SWITCHED, TOUCHED
CKED - CHECKED, PICKED, TRACKED, FUCKED, LOCKED, PACKED, BACKED, WICKED, BLOCKED, ATTACKED
