IGHT - RIGHT, NIGHT, LIGHT, MIGHT, EIGHT, FIGHT, WEIGHT, FLIGHT, STRAIGHT, COPYRIGHT
MING - COMING, GAMING, TIMING, WYOMING, UPCOMING, BECOMING, SWIMMING, STREAMING, PERFORMING, PROGRAMMING
ANCE - DANCE, FRANCE, CHANCE, FINANCE, ADVANCE, DISTANCE, INSURANCE, ASSISTANCE, PERFORMANCE, MAINTENANCE
SSES - LOSSES, PASSES, CLASSES, GLASSES, DRESSES, PROCESSES, ADDRESSES, WITNESSES, BUSINESSES, SUNGLASSES
ABLE - TABLE, CABLE, ENABLE, VARIABLE, PORTABLE, AVAILABLE, PRINTABLE, APPLICABLE, REASONABLE, AFFORDABLE
LESS - BLESS, UNLESS, TOPLESS, ENDLESS, WIRELESS, CORDLESS, HOMELESS, STAINLESS, REGARDLESS, NEVERTHELESS
HING - THING, NOTHING, FISHING, ANYTHING, CLOTHING, TEACHING, MATCHING, SOMETHING, EVERYTHING, PUBLISHING
CING - RACING, FACING, PRICING, DANCING, PLACING, REDUCING, FINANCING, PRODUCING, OUTSOURCING, INTRODUCING
ANTS - WANTS, PANTS, PLANTS, GRANTS, GIANTS, MERCHANTS, APPLICANTS, RESTAURANTS, CONSULTANTS, PARTICIPANTS
ATED - RATED, RELATED, UPDATED, CREATED, LOCATED, GENERATED, DEDICATED, ASSOCIATED, DESIGNATED, INTEGRATED
IOUS - VARIOUS, SERIOUS, OBVIOUS, CURIOUS, PREVIOUS, PRECIOUS, RELIGIOUS, DELICIOUS, CONSCIOUS, INFECTIOUS
ERED - POWERED, OFFERED, COVERED, ENTERED, ORDERED, ANSWERED, DELIVERED, REGISTERED, CONSIDERED, DISCOVERED
TORY - STORY, HISTORY, FACTORY, VICTORY, DIRECTORY, INVENTORY, TERRITORY, STATUTORY, LABORATORY, REGULATORY
INED - JOINED, DEFINED, TRAINED, OBTAINED, COMBINED, REMAINED, CONTAINED, EXPLAINED, DETERMINED, MAINTAINED
INES - LINES, WINES, ENGINES, MACHINES, AIRLINES, MAGAZINES, HEADLINES, GUIDELINES, LIMOUSINES, PHILIPPINES
NTED - WANTED, PRINTED, GRANTED, MOUNTED, POINTED, ORIENTED, PRESENTED, APPOINTED, IMPLEMENTED, REPRESENTED
CIAL - SOCIAL, FACIAL, SPECIAL, CRUCIAL, OFFICIAL, JUDICIAL, FINANCIAL, COMMERCIAL, ARTIFICIAL, INTERRACIAL
ENTS - EVENTS, AGENTS, PARENTS, COMMENTS, STUDENTS, CONTENTS, PATIENTS, DOCUMENTS, COMPONENTS, REQUIREMENTS
ATES - RATES, DATES, STATES, UPDATES, ESTIMATES, INDICATES, ASSOCIATES, AFFILIATES, CANDIDATES, CERTIFICATES
RITY - CHARITY, CLARITY, SECURITY, PRIORITY, MAJORITY, MINORITY, AUTHORITY, CELEBRITY, INTEGRITY, POPULARITY
TERS - LETTERS, CENTERS, POSTERS, MATTERS, WRITERS, PRINTERS, COMPUTERS, CHARACTERS, PARAMETERS, NEWSLETTERS
SING - USING, HOUSING, NURSING, MISSING, CLOSING, LICENSING, PROCESSING, INCREASING, PURCHASING, ADVERTISING
SION - VISION, VERSION, SESSION, MISSION, DECISION, DIVISION, DISCUSSION, COMMISSION, TELEVISION, PERMISSION
RATE - OPERATE, BIZRATE, SEPARATE, ACCURATE, GENERATE, MODERATE, CORPORATE, DESPERATE, CELEBRATE, DEMONSTRATE
ICAL - MEDICAL, MUSICAL, PHYSICAL, CRITICAL, CLINICAL, CHEMICAL, TECHNICAL, POLITICAL, HISTORICAL, ELECTRICAL
NERS - OWNERS, WINNERS, BANNERS, PARTNERS, SCANNERS, CLEANERS, DESIGNERS, PRISONERS, CONTAINERS, PRACTITIONERS
TORS - FACTORS, EDITORS, DOCTORS, VISITORS, MONITORS, DIRECTORS, OPERATORS, INVESTORS, INDICATORS, CONTRACTORS
DING - READING, WEDDING, LEADING, FUNDING, BUILDING, INCLUDING, ACCORDING, PROVIDING, REGARDING, UNDERSTANDING
CTED - ELECTED, SELECTED, EXPECTED, DIRECTED, AFFECTED, PROTECTED, CONNECTED, CONDUCTED, COLLECTED, RESTRICTED
ISTS - LISTS, EXISTS, ARTISTS, CONSISTS, FLORISTS, SCIENTISTS, COLUMNISTS, TERRORISTS, SPECIALISTS, JOURNALISTS
DENT - STUDENT, EVIDENT, ACCIDENT, RESIDENT, INCIDENT, PRESIDENT, DEPENDENT, CONFIDENT, RESPONDENT, INDEPENDENT
FIED - UNIFIED, MODIFIED, VERIFIED, NOTIFIED, SPECIFIED, CERTIFIED, QUALIFIED, SATISFIED, IDENTIFIED, CLASSIFIED
IBLE - BIBLE, VISIBLE, POSSIBLE, ELIGIBLE, FLEXIBLE, COMPATIBLE, ACCESSIBLE, IMPOSSIBLE, INCREDIBLE, RESPONSIBLE
RIES - SERIES, STORIES, ENTRIES, COUNTRIES, GALLERIES, LIBRARIES, BATTERIES, CATEGORIES, INDUSTRIES, ACCESSORIES
TION - ACTION, SECTION, EDITION, LOCATION, QUESTION, EDUCATION, INFORMATION, DESCRIPTION, APPLICATION, ASSOCIATION
URES - FIGURES, PICTURES, FEATURES, MEASURES, CULTURES, LECTURES, PROCEDURES, STRUCTURES, ADVENTURES, EXPENDITURES
NESS - FITNESS, WITNESS, ILLNESS, BUSINESS, WELLNESS, DARKNESS, AWARENESS, HAPPINESS, EFFECTIVENESS, CONSCIOUSNESS
ALLY - REALLY, USUALLY, FINALLY, TOTALLY, ACTUALLY, GENERALLY, ESPECIALLY, ORIGINALLY, SPECIFICALLY, AUTOMATICALLY
ULAR - POPULAR, REGULAR, MODULAR, CELLULAR, CIRCULAR, CINGULAR, MOLECULAR, PARTICULAR, SPECTACULAR, CARDIOVASCULAR
ENCE - SCIENCE, EVIDENCE, SEQUENCE, VIOLENCE, PRESENCE, REFERENCE, EXPERIENCE, CONFERENCE, DIFFERENCE, INTELLIGENCE
ATOR - SENATOR, CREATOR, LOCATOR, OPERATOR, MODERATOR, GENERATOR, INDICATOR, CALCULATOR, COORDINATOR, ADMINISTRATOR
IVES - GIVES, LIVES, DRIVES, ARCHIVES, RECEIVES, OBJECTIVES, INITIATIVES, ALTERNATIVES, PERSPECTIVES, REPRESENTATIVES
TICS - OPTICS, CRITICS, POLITICS, GENETICS, ATHLETICS, LOGISTICS, COSMETICS, STATISTICS, MATHEMATICS, CHARACTERISTICS
TIAL - INITIAL, PARTIAL, SPATIAL, MARTIAL, POTENTIAL, ESSENTIAL, RESIDENTIAL, SUBSTANTIAL, CONFIDENTIAL, PRESIDENTIAL
LITY - QUALITY, ABILITY, REALITY, UTILITY, FACILITY, LIABILITY, DISABILITY, AVAILABILITY, ACCESSIBILITY, RESPONSIBILITY
LOGY - BIOLOGY, ECOLOGY, GENEALOGY, PATHOLOGY, SOCIOLOGY, TECHNOLOGY, PSYCHOLOGY, PHYSIOLOGY, METHODOLOGY, BIOTECHNOLOGY
SIVE - MASSIVE, EXCLUSIVE, EXTENSIVE, EXPENSIVE, INCLUSIVE, INTENSIVE, OFFENSIVE, IMPRESSIVE, PROGRESSIVE, COMPREHENSIVE
TIVE - ACTIVE, POSITIVE, CREATIVE, EFFECTIVE, EXECUTIVE, RESPECTIVE, AUTOMOTIVE, ALTERNATIVE, INTERACTIVE, ADMINISTRATIVE
TARY - DIETARY, MILITARY, MONETARY, SECRETARY, VOLUNTARY, ELEMENTARY, COMMENTARY, DOCUMENTARY, PROPRIETARY, PARLIAMENTARY
SHED - PUSHED, FINISHED, POLISHED, PUBLISHED, FURNISHED, WATERSHED, ESTABLISHED, REFURBISHED, ACCOMPLISHED, DISTINGUISHED
MENT - COMMENT, PAYMENT, EQUIPMENT, AGREEMENT, MANAGEMENT, GOVERNMENT, DEPARTMENT, DEVELOPMENT, ENVIRONMENT, ENTERTAINMENT
TIES - CITIES, PARTIES, UTILITIES, ACTIVITIES, FACILITIES, PROPERTIES, SECURITIES, COMMUNITIES, AUTHORITIES, OPPORTUNITIES
ONAL - NATIONAL, PERSONAL, REGIONAL, OPTIONAL, ADDITIONAL, FUNCTIONAL, EDUCATIONAL, TRADITIONAL, PROFESSIONAL, INTERNATIONAL
NTAL - RENTAL, MENTAL, DENTAL, HORIZONTAL, FUNDAMENTAL, CONTINENTAL, EXPERIMENTAL, GOVERNMENTAL, ENVIRONMENTAL, DEVELOPMENTAL
SHIP - WORSHIP, TOWNSHIP, OWNERSHIP, MEMBERSHIP, LEADERSHIP, FRIENDSHIP, PARTNERSHIP, SCHOLARSHIP, RELATIONSHIP, CHAMPIONSHIP
IONS - OPTIONS, QUESTIONS, SOLUTIONS, LOCATIONS, RELATIONS, CONDITIONS, OPERATIONS, APPLICATIONS, PUBLICATIONS, COMMUNICATIONS
TELY - LATELY, COMPLETELY, ABSOLUTELY, DEFINITELY, ULTIMATELY, SEPARATELY, ACCURATELY, IMMEDIATELY, APPROXIMATELY, UNFORTUNATELY
NTLY - RECENTLY, CURRENTLY, INSTANTLY, FREQUENTLY, APPARENTLY, CONSTANTLY, CONSISTENTLY, SUBSEQUENTLY, SIGNIFICANTLY, INDEPENDENTLY
NCES - SCIENCES, REFERENCES, APPLIANCES, SUBSTANCES, DIFFERENCES, EXPERIENCES, PREFERENCES, CONFERENCES, CONSEQUENCES, CIRCUMSTANCES
